SITE$,LINO,KIAT,RED,PUBW,RES,TULA,PUBR,WING,WIPO,STJ
LZ0501,1,0,0,0,0,2,0,0,0,17
LZ0502,0,0,0,0,0,2,0,0,1,12
LZ0505,0,2,1,4,0,1,0,0,0,0
LZ0507,0,0,0,3,0,2,0,0,0,25
LZ0508,0,0,0,1,8,4,3,13,7,1
LZ0512,0,0,0,1,0,2,0,6,5,20
LZ0513,0,0,0,2,1,3,0,0,0,7
LZ0516,0,0,0,0,0,0,0,1,0,6
LZ0523,0,0,1,3,1,2,0,0,1,4
LZ0527,0,0,0,1,3,4,0,8,3,0
LZ0537,0,0,1,3,5,0,0,3,4,0
LZ0538,0,0,2,1,1,7,0,12,4,1
LZ0539,0,0,1,1,1,2,1,8,2,0
LZ0545,0,0,1,3,0,1,3,6,6,15
LZ0546,0,0,2,8,1,0,0,0,0,1
LZ0557,0,0,0,0,0,0,0,0,0,6
LZ0560,0,0,0,2,1,3,2,13,4,13
LZ0561,0,0,1,0,2,0,0,7,8,9
LZ0562,0,0,1,3,0,4,3,6,5,20
LZ0563,0,0,0,1,0,1,0,4,3,8
LZ0565,0,0,0,0,0,0,0,0,1,7
LZ0567,0,0,1,4,2,0,1,3,0,11
LZ0568,0,0,0,1,0,0,0,1,0,3
LZ0569,0,0,1,3,2,0,0,1,1,0
LZ0570,0,0,0,3,1,0,1,2,1,0
LZ0578,0,0,0,0,0,1,1,1,2,0
LZ0581,0,0,2,8,4,0,0,5,0,0
LZ0582,0,0,1,2,0,1,0,0,0,6
LZ0583,0,0,2,0,3,9,0,15,3,31
LZ0588,0,0,0,5,0,0,0,1,0,0
LZ0589,0,0,3,10,2,1,0,7,1,0
LZ0591,0,1,4,14,3,1,0,0,0,0
LZ0594,0,0,0,1,2,0,5,4,2,1
LZ0595,1,4,0,3,0,0,0,0,0,0
LZ0597,0,0,1,9,0,0,0,0,0,0
LZ0605,5,2,2,1,1,0,0,1,0,0
LZ0610,0,0,3,3,3,0,1,1,0,0
LZ0612,0,1,6,9,4,0,3,0,0,0
LZ0618,7,6,2,5,0,0,0,0,0,0
LZ0627,0,0,3,9,9,1,0,0,0,0
LZ0653,0,1,1,5,2,0,0,0,0,0
LZ0654,0,0,0,4,3,0,0,0,0,0
LZ0655,0,0,5,1,0,0,1,0,0,0
LZ0658,0,0,6,2,1,0,0,0,0,0
LZ0703,1,2,3,1,2,0,0,0,0,0
LZ0704,0,0,0,0,0,1,1,1,0,23
LZ0710,11,1,4,6,4,3,0,0,0,0
LZ0713,15,1,3,17,10,3,5,0,0,0
LZ0715,12,1,0,1,1,0,0,0,0,0
LZ0718,63,5,15,2,0,0,0,0,0,0
LZ0719,0,0,0,16,1,13,1,2,0,21
LZ0732,3,0,4,6,3,1,0,0,0,4
LZ0733,0,0,0,10,0,0,1,0,0,0
LZ0735,0,0,3,14,4,0,6,1,0,0
LZ0741,0,0,0,2,3,0,1,1,0,12
LZ0742,0,0,0,0,0,0,0,2,1,6
LZ0747,0,0,0,1,0,6,0,0,0,10
LZ0750,0,0,0,0,0,5,1,3,1,20
LZ0751,0,1,3,14,2,1,0,1,0,10
LZ0754,0,0,0,0,0,0,0,0,0,39
LZ0773,2,0,7,1,0,2,1,0,0,1
LZ0776,1,0,0,1,0,0,3,0,0,0
LZ0778,0,0,1,6,2,17,1,2,2,48
LZ0782,0,0,0,5,0,0,0,0,0,0
LZ0783,0,0,0,3,6,2,3,3,1,0
LZ0789,0,0,0,0,0,6,0,4,2,2
LZ0796,0,1,0,6,0,9,0,0,0,15
LZ0797,0,0,0,3,1,17,0,1,1,39
LZ0806,0,0,0,2,0,4,1,6,0,3
LZ0808,0,0,1,4,0,1,1,1,0,10
LZ0809,0,1,0,5,0,0,0,0,0,0
LZ0812,0,0,0,0,0,2,0,2,0,13
LZ0816,0,0,1,0,0,2,0,0,1,24
LZ0821,0,0,0,11,2,2,0,1,0,0
LZ0822,0,0,1,1,0,0,3,0,0,0
LZ0826,1,2,4,4,0,0,0,1,0,0
LZ0851,0,1,0,8,0,2,0,1,0,0
LZ0853,0,0,0,0,0,1,0,5,2,17
LZ0856,0,0,2,12,2,10,1,7,0,0
LZ0857,0,0,0,4,0,3,0,0,0,0
LZ0860,0,1,0,3,0,1,0,0,0,0
LZ0861,0,1,2,1,2,0,0,0,0,0
LZ0862,0,0,0,4,1,0,2,1,1,3
LZ0863,0,0,8,8,4,0,2,0,0,0
